"","id","l","y","costofl","sales","k","indcode","sector","age"
"198",198,69,324,666,1011,764,72,"services",8
"199",199,389,1510,2057,4652,7707,51,"services",3
"200",200,198,168,1972,44773,59577,26,"manufacturing",5
"201",201,78,26878,1259,32292,706024,52,"services",5
"202",202,180,641,611,1293,1046,29,"manufacturing",48
"203",203,130,1435,537,9937,12330,51,"services",6
"204",204,83,503,377,6545,1997,51,"services",7
"205",205,56,664,383,4400,2349,51,"services",7
"206",206,110,974,688,3899,2485,25,"manufacturing",6
"207",207,28,297,215,1515,9316,60,"services",5
"208",208,91,3364,1039,8354,3224,63,"services",2
"209",209,177,583,897,6839,4201,36,"manufacturing",5
"210",210,18,821,295,3983,4971,74,"services",4
"211",211,337,1601,1597,3823,4747,29,"manufacturing",8
"212",212,527,4398,2787,62851,48115,50,"services",7
"213",213,185,2048,1070,9211,13847,40,"manufacturing",7
"214",214,127,970,598,2069,1843,90,"services",3
"215",215,280,1507,1127,4069,2891,26,"manufacturing",49
"216",216,34,169,154,1427,348,51,"services",8
"217",217,118,1199,704,6237,2270,25,"manufacturing",6
"218",218,79,637,282,3171,3056,29,"manufacturing",11
"219",219,29,707,545,2410,3453,64,"services",4
"220",220,21,1132,316,5653,27050,50,"services",10
"221",221,43,618,236,57911,15676,51,"services",3
"222",222,193,1600,827,4601,4564,28,"manufacturing",7
"223",223,50,3847,189,4453,14252,65,"services",3
"224",224,273,1433,2270,13190,6543,60,"services",9
"225",225,120,986,130,24207,10585,51,"services",1
"226",226,197,3615,1950,1401,7370,22,"manufacturing",4
"227",227,480,1747,1757,3039,1081,18,"manufacturing",11
"228",228,30,634,312,242,6648,74,"services",2
"229",229,55,2196,924,25341,8963,51,"services",5
"230",230,150,280,893,1409,1873,22,"manufacturing",3
"231",231,1933,22575,15853,95930,104659,21,"manufacturing",10
"232",232,171,782,566,2699,1286,28,"manufacturing",4
"233",233,87,532,1277,9368,11865,26,"manufacturing",5
"234",234,2878,11232,7367,78690,137914,23,"manufacturing",1
"235",235,15,248,60,10000,4036,51,"services",8
"236",236,419,2654,2006,11991,9530,26,"manufacturing",25
"237",237,1781,6514,8307,22697,24777,29,"manufacturing",49
"238",238,785,2762,2415,5385,4309,18,"manufacturing",9
"239",239,146,1878,1408,8128,4375,24,"manufacturing",16
"240",240,233,2121,1544,20880,6574,51,"services",13
"241",241,7268,95738,85922,785642,910806,27,"manufacturing",28
"242",242,172,2623,1010,23147,18901,51,"services",11
"243",243,3558,63339,18182,277429,165173,31,"manufacturing",42
"244",244,124,1290,884,6398,3680,45,"services",46
"245",245,2196,19935,14504,164897,93089,24,"manufacturing",52
"246",246,965,40301,7302,190032,234510,20,"manufacturing",6
"247",247,903,32683,11145,77121,191086,26,"manufacturing",27
"248",248,1495,84043,14477,571349,253481,16,"manufacturing",49
"249",249,30,1599,461,7928,2736,51,"services",8
"250",250,560,14798,7641,25716,20142,67,"services",8
"251",251,43,431,349,5132,5202,51,"services",8
"252",252,60,3355,985,39881,10024,51,"services",6
"253",253,73,544,395,8105,2899,51,"services",24
"254",254,34,900,68,13530,5500,51,"services",11
"255",255,35,564,426,4282,3259,51,"services",9
"256",256,243,3809,2273,17443,30785,24,"manufacturing",9
"257",257,120,997,545,2184,6135,41,"manufacturing",7
"258",258,449,1778,1852,7237,1328,55,"services",12
"259",259,328,4169,2205,57301,9284,50,"services",6
"260",260,92,790,632,2320,1483,32,"manufacturing",8
"261",261,182,2341,995,17457,5452,51,"services",10
"262",262,348,2387,2125,4426,1930,28,"manufacturing",9
"263",263,50,394,272,12527,2497,50,"services",9
"264",264,494,10863,4169,48195,32895,31,"manufacturing",10
"265",265,462,3939,3666,162871,28557,51,"services",9
"266",266,63,1275,606,3883,1123,60,"services",9
"267",267,162,1504,1567,9263,2983,22,"manufacturing",8
"268",268,19,3538,371,52522,7912,51,"services",19
"269",269,73,1139,845,15959,2904,52,"services",9
"270",270,55,2766,727,12261,4042,74,"services",8
"271",271,200,3171,75,5907,1330,70,"services",10
"272",272,193,6640,8795,23617,1460020,45,"services",7
"273",273,112,507,517,7606,2794,29,"manufacturing",50
"274",274,132,3150,1501,31989,6256,50,"services",10
"275",275,43,253,182,589,263,63,"services",9
"276",276,76,3204,1733,60816,43760,51,"services",9
"277",277,712,10018,7006,18456,8429,14,"manufacturing",43
"278",278,43,969,585,2962,1650,22,"manufacturing",8
"279",279,130,1431,1105,3523,1660,92,"services",54
